2017-08-25 20:22:43: On File Change Monitoring started on file:///D:/Projects/SymbianPython/python
2017-08-25 20:22:44: -- Analysis Started by On File Change First Full Analyze Upon File Monitoring Start
2017-08-25 20:22:45: 变更：38， 冲突：， 复制时间：， 复制状态：， 错误： , All: 175
2017-08-25 20:22:45: Left to Right: Copy File: 38 
2017-08-25 20:22:45: == Sync Started by On File Change First Full Analyze Upon File Monitoring Start
2017-08-25 20:22:45: 创建文件夹 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic'
2017-08-25 20:22:46: 新建复制 'D:/Projects/SymbianPython/python/pic/actionbar_discover_normal.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/actionbar_discover_normal.png'
2017-08-25 20:22:46: 新建复制 'D:/Projects/SymbianPython/python/pic/fm_default_cover_largeex.scale-100.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/fm_default_cover_largeex.scale-100.png'
2017-08-25 20:22:47: 新建复制 'D:/Projects/SymbianPython/python/pic/list_detail_icn_fav.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/list_detail_icn_fav.bmp'
2017-08-25 20:22:47: 新建复制 'D:/Projects/SymbianPython/python/pic/list_detail_icn_fav.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/list_detail_icn_fav.png'
2017-08-25 20:22:47: 新建复制 'D:/Projects/SymbianPython/python/pic/list_detail_icn_fav_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/list_detail_icn_fav_.bmp'
2017-08-25 20:22:47: 新建复制 'D:/Projects/SymbianPython/python/pic/list_detail_icn_faved.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/list_detail_icn_faved.bmp'
2017-08-25 20:22:48: 新建复制 'D:/Projects/SymbianPython/python/pic/list_detail_icn_faved.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/list_detail_icn_faved.png'
2017-08-25 20:22:48: 新建复制 'D:/Projects/SymbianPython/python/pic/list_detail_icn_faved_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/list_detail_icn_faved_.bmp'
2017-08-25 20:22:48: 新建复制 'D:/Projects/SymbianPython/python/pic/pic.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/pic.bmp'
2017-08-25 20:22:49: 新建复制 'D:/Projects/SymbianPython/python/pic/pic.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/pic.png'
2017-08-25 20:22:49: 新建复制 'D:/Projects/SymbianPython/python/pic/play_disc.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_disc.png'
2017-08-25 20:22:50: 新建复制 'D:/Projects/SymbianPython/python/pic/play_fm_btn_love_prs.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_fm_btn_love_prs.png'
2017-08-25 20:22:50: 新建复制 'D:/Projects/SymbianPython/python/pic/play_fm_btn_loved.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_fm_btn_loved.png'
2017-08-25 20:22:51: 新建复制 'D:/Projects/SymbianPython/python/pic/play_fm_btn_loved_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_fm_btn_loved_.bmp'
2017-08-25 20:22:51: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_cmt.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_cmt.bmp'
2017-08-25 20:22:51: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_cmt.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_cmt.png'
2017-08-25 20:22:52: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_cmt_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_cmt_.bmp'
2017-08-25 20:22:52: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_loop.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_loop.bmp'
2017-08-25 20:22:53: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_loop.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_loop.png'
