2017-08-30 02:39:57: -- Analysis Started by On File Change Incremental
2017-08-30 02:39:57: 变更：48， 冲突：， 复制时间：， 复制状态：， 错误： , All: 307
2017-08-30 02:39:57: Left to Right: Copy File: 48 
2017-08-30 02:39:57: == Sync Started by On File Change Incremental
2017-08-30 02:39:57: 创建文件夹 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing'
2017-08-30 02:39:57: 创建文件夹 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic'
2017-08-30 02:39:58: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/default.py' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/default.py'
2017-08-30 02:39:58: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/launcher.py' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/launcher.py'
2017-08-30 02:39:58: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/lib.zip' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/lib.zip'
2017-08-30 02:39:59: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/neapi.py' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/neapi.py'
2017-08-30 02:39:59: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/actionbar_discover_normal.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/actionbar_discover_normal.png'
2017-08-30 02:39:59: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/fm_default_cover_largeex.scale-100.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/fm_default_cover_largeex.scale-100.png'
2017-08-30 02:40:00: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/list_detail_icn_fav.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/list_detail_icn_fav.bmp'
2017-08-30 02:40:00: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/list_detail_icn_fav.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/list_detail_icn_fav.png'
2017-08-30 02:40:00: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/list_detail_icn_fav_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/list_detail_icn_fav_.bmp'
2017-08-30 02:40:00: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/list_detail_icn_faved.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/list_detail_icn_faved.bmp'
2017-08-30 02:40:01: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/list_detail_icn_faved.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/list_detail_icn_faved.png'
2017-08-30 02:40:01: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/list_detail_icn_faved_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/list_detail_icn_faved_.bmp'
2017-08-30 02:40:01: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/pic.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/pic.bmp'
2017-08-30 02:40:01: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/pic.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/pic.png'
2017-08-30 02:40:02: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_disc.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_disc.png'
2017-08-30 02:40:02: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_fm_btn_love_prs.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_fm_btn_love_prs.png'
2017-08-30 02:40:02: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_fm_btn_loved.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_fm_btn_loved.png'
2017-08-30 02:40:02: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_fm_btn_loved_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_fm_btn_loved_.bmp'
2017-08-30 02:40:03: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_cmt.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_cmt.bmp'
2017-08-30 02:40:03: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_cmt.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_cmt.png'
2017-08-30 02:40:03: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_cmt_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_cmt_.bmp'
2017-08-30 02:40:03: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_loop.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_loop.bmp'
2017-08-30 02:40:04: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_loop.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_loop.png'
2017-08-30 02:40:04: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_loop_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_loop_.bmp'
2017-08-30 02:40:04: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_love.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_love.bmp'
2017-08-30 02:40:04: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_love.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_love.png'
2017-08-30 02:40:05: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_love_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_love_.bmp'
